Name;Birth Year;Death Year;City of Birth;Latitude;Longitude
Giovanni Gabrieli;1557;1612;Venice;45.4371908;12.3345898
Claudio Monteverdi;1567;1643;Cremona;45.1334796;10.0248716
Orlando Gibbons;1583;1625;Oxford;51.7520131;-1.2578499
Girolamo Frescobaldi;1583;1643;Ferrara;44.8372737;11.6186451
Heinrich Schütz;1585;1672;Köstritz;50.928822;12.000182361432318
Jean-Baptiste Lully;1632;1687;Florence;43.7697955;11.2556404
Marc-Antoine Charpentier;1643;1704;Paris;48.8588897;2.3200410217200766
Arcangelo Corelli;1653;1713;Fusignano;44.4674429;11.9601262
Henry Purcell;1659;1695;London;51.5074456;-0.1277653
Alessandro Scarlatti;1660;1725;Palermo;38.1112268;13.3524434
François Couperin;1668;1733;Paris;48.8588897;2.3200410217200766
Tomaso Albinoni;1671;1751;Venice;45.4371908;12.3345898
Antonio Vivaldi;1678;1741;Venice;45.4371908;12.3345898
Georg Philipp Telemann;1681;1767;Magdeburg;52.1315889;11.6399609
Jean-Philippe Rameau;1683;1764;Dijon;47.3215806;5.0414701
Johann Sebastian Bach;1685;1750;Eisenach;50.9747134;10.3193565
George Frideric Handel;1685;1759;Halle;51.4825041;11.9705452
Domenico Scarlatti;1685;1757;Naples;40.8358846;14.2487679
Carl Philipp Emanuel Bach;1714;1788;Weimar;50.9769686;11.3275394
Christoph Willibald Gluck;1714;1787;Erasbach;49.1463458;11.4206037
Niccolò Jommelli;1714;1774;Aversa;40.973212;14.204928
Joseph Haydn;1732;1809;Rohrau;48.0661341;16.8594353
Luigi Boccherini;1743;1805;Lucca;43.8428381;10.502876
Antonio Salieri;1750;1825;Legnago;45.192498;11.3111274
Muzio Clementi;1752;1832;Rome;41.8933203;12.4829321
Wolfgang Amadeus Mozart;1756;1791;Salzburg;50.6667428;8.0474914
Ludwig van Beethoven;1770;1827;Bonn;50.735851;7.10066
Carl Maria von Weber;1786;1826;Eutin;54.1364642;10.6159077
Gioachino Rossini;1792;1868;Pesaro;43.9098114;12.9131228
Franz Schubert;1797;1828;Vienna;48.2083537;16.3725042
Gaetano Donizetti;1797;1848;Bergamo;45.6944947;9.6698727
Vincenzo Bellini;1801;1835;Catania;37.5023612;15.0873718
Hector Berlioz;1803;1869;La Côte-Saint-André;45.3937745;5.2604941
Mikhail Glinka;1804;1857;Novospasskoye;54.6431219;44.8235487
Felix Mendelssohn;1809;1847;Hamburg;53.550341;10.000654
Frédéric Chopin;1810;1849;Żelazowa Wola;52.2584445;20.3108556
Robert Schumann;1810;1856;Zwickau;50.7185043;12.4939267
Franz Liszt;1811;1886;Raiding;47.568562549999996;16.517998004391693
Richard Wagner;1813;1883;Leipzig;51.3406321;12.3747329
Giuseppe Verdi;1813;1901;Le Roncole;44.3256252;10.670971
Charles Gounod;1818;1893;Paris;48.8588897;2.3200410217200766
Jacques Offenbach;1819;1880;Cologne;50.938361;6.959974
Bedřich Smetana;1824;1884;Litomyšl;49.86800565;16.313593764283887
Johann Strauss II;1825;1899;Vienna;48.2083537;16.3725042
Johannes Brahms;1833;1897;Hamburg;53.550341;10.000654
Camille Saint-Saëns;1835;1921;Paris;48.8588897;2.3200410217200766
Modest Mussorgsky;1839;1881;Karevo;55.7634;41.274
